TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
HNSC,P68431,H3C1,P62805:H4C1,3,3,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z', 'TCGA-D6-6516'}",11,"{'TCGA-CN-A497', 'TCGA-CR-6488', 'TCGA-CR-5243', 'TCGA-CV-A45W', 'TCGA-CV-7414', 'TCGA-CR-7371', 'TCGA-QK-A6VB', 'TCGA-CR-5248', 'TCGA-IQ-7630', 'TCGA-QK-A64Z', 'TCGA-CV-7435'}",0,set()
HNSC,P68431,H3C1,Q9UER7:DAXX,2,2,"{'TCGA-D6-6516', 'TCGA-QK-A6II'}",0,set(),0,set()
HNSC,P68431,H3C1,P04908:H2AC4,2,2,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z'}",0,set(),0,set()
HNSC,P68431,H3C1,Q16777:H2AC20,2,2,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z'}",1,{'TCGA-CR-6472'},0,set()
HNSC,P68431,H3C1,P16104:H2AX,2,2,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z'}",0,set(),0,set()
HNSC,P68431,H3C1,P0C0S8:H2AC11,2,2,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z'}",0,set(),0,set()
HNSC,P68431,H3C1,O75367:MACROH2A1,2,2,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z'}",0,set(),0,set()
HNSC,P68431,H3C1,P0C0S5:H2AZ1,2,2,"{'TCGA-UF-A71E', 'TCGA-CV-A45Z'}",1,{'TCGA-CN-5369'},0,set()
HNSC,P68431,H3C1,Q9Y294:ASF1A,1,1,{'TCGA-QK-A6II'},0,set(),0,set()
HNSC,P68431,H3C1,Q9NVP2:ASF1B,1,1,{'TCGA-QK-A6II'},1,{'TCGA-F7-A624'},0,set()
HNSC,P68431,H3C1,P49450:CENPA,1,1,{'TCGA-QK-A6II'},0,set(),0,set()
